ID,User Story,Requirements,Manual Scenario,domain
12,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Versions/Revisions Screen so that I can preview what the animation is before adding a version/revision","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Version OR Revision Tab of the Approvals Screen. This should help users to preview the animation while approving
2. As a user on the Version or Revision Tab
3. The preview should show the GIF or Lottie File converted MP4.
4. Approvals uses PDFTron
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the Markup Screen in Approvals
  Given I am an admin 
  When I upload Lottie and the GIF file
  And navigate to the Markup Screen in Approvals
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay",Digital Asset Management
13,"As a user, I want to be able to see the GIF or Lottie File converted MP4 on the Markup Screen in Approvals so that I can markup the animation to get feedback and new revisions worked on","1. Users should see the preview of the GIF or Lottie File converted MP4 on the MArkup Tab of the Approvals Screen. This should help users to preview the animation while markup/approving
2. As a user on the Markup Request Tab
3. The preview should show the GIF or Lottie File converted MP4
4. Approvals uses PDFTron
5. It should use the converted original video 
6. All functionality here should be the same as if it was a MP4 file
7. The controls from PDFtron should be visible
8. Users should be able to markup as if it was an Mp4","Scenario:  Verify the GIF and Lottie file preview on Version/Revision screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And navigate to the Version/Revision screen
  Then The file should have been converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay",Digital Asset Management
14,"As a Database Manager, I want to Allow End users to overide default and change names","1. In Configure Auto-Created Records, an option appears called “Allow User updates to Titles upon creation”
2. When it is enalbed, then click on Confirm, then click on Save & Close, click back on the Lookup Grid, Click on Configure Button, we should see it is enabled 
3. When it is enable, the Confirm button is enabled even some/all fields are blank
4. If enabled, then end user component will always appear
5. If disabled, then end user component will not appear","Scenario: Configure overlay - Allow User updates to Titles upon creation enabled
      Given I have the Configure overlay open
      And I have 'Allow User updates to Titles upon creation' enabled
      When I have a text field empty
      Then the 'Confirm' button will still be enabled",Digital Asset Management
17,"As a user, I want to see snackbars when submitting/ saving parent record to let me know children will be created","1. When auto-create child records is enabled, then for both scenarios where end user sees no config and when they do, we display the below variants to current snackbars:
2. profiler.profiler.recordSubmittedPublished - {record} submitted for approval
Variant when Child records are delayed created:
{record} submitted for approval. Linked {record(s)} will be created in the {database name} when this {record} is approved.
{record} = dynamic name from parent database (current behaviour)
{record(s)} = dynamic single name from child database with (s) on the end to denote could be single or multiple
{database name} = name of child database
3. profiler.profiler.recordSubmitted - {record} submitted
Variant when Child records are to be created right away (no delay):
{record} submitted. Linked {record(s)} are being created in the {database name}.
4. profiler.profiler.recordSubmittedPublishedWithAutoFolder - {record} submitted for approval. Auto-created Folders will be created once approved
Variant when Child records are to be created on delay, along with ACFs
{record} submitted for approval. Auto-created Folders and linked {record(s)} will be created once approved
{record(s)} = dynamic single name from child database with (s) on the end to denote could be single or multiple
5. profiler.profiler.recordSubmittedWithAutoFolder - {record} submitted and Auto-Created Folders are being created. Folders may take a few minutes to appear
Variant when Child records are to be created right away, along with ACFs:
{record} submitted. Linked {record(s)} and Auto-Created Folders are being created. Folders may take a few minutes to appear
{record(s)} = dynamic single name from child database with (s) on the end to denote could be single or multiple","Scenario: Snackbar on save/submit parent record 
      Given I have a database with a lookup grid that has auto create child records enabled
      When I save/submit the record
      Then the following snackbar message will appear based on the scenario
      
      Workflow Request | Auto Create Folder | Message
      No               | No                 | '{record} submitted. Linked {record(s)} are being created in the {database name}.'
      Yes              | No                 | '{record} submitted for approval. Linked {record(s)} will be created in the {database name} when this {record} is approved.'
      No               | Yes                | '{record} submitted. Linked {record(s)} and Auto-Created Folders are being created. Folders may take a few minutes to appear'
      Yes              | Yes                | '{record} submitted for approval. Auto-created Folders and linked {record(s)} will be created once approved'",Digital Asset Management
19,"As a Database Manager, I want to allow end users to Add More child records ('Add More') - Handle maximum child records","1. Configure Auto-Created Records overlay in the form builder, a setting called Allow User to Add More {Recordcustomnameplural} was added
2. While 30 is maximum total number of child records, we will keep this field ‘Allow User to Add More {Recordcustomnameplural}’ enabled / clickable even if 30 exist in config, since end users can potentially remove non-mandatory ones (which would then let them add more)
3. If however 30 exist in config and ALL 30 are disabled for ‘Allow User to skip…’ then we de-select + disable this field. This is because in this scenario end user cannot add more.  
4. Disabled state hover updates to:
The max 30 {{Records}} has been added here. Remove any of the above to allow users to add more.
{{Records}} here = child custom record plural name","Scenario: 'Allow User to Add More' setting with 30 records
      Given I am in the Configure Auto-Created Records overlay
      When I add 30 records 
      And 1 of those records has 'Allow User to skip…’ enabled
      Then I can enable 'Allow User to Add More'
      When I disable 'Allow User to skip…’ on the last record
      Then 'Allow User to Add More' is disabled
      And if I hover over the setting I see the text 'The max 30 {{Records}} has been added here. Remove any of the above to allow users to add more.'",Digital Asset Management
22,"As a user, I want to see exclusion message / handling for non-supported file types should I select any to Bulk Edit, on Bulk edit screen","1. Snackbar needs updating to new global component as part of this ticket
import { useGlobalSnackbar } from 'hooks/useGlobalSnackbar';
use stacking snack bar 
2. Snackbar text also needs updating in this scenario:
CURRENT: “X {{ResourcesPlural}} are not available as you do not have permission to Edit them” ← is not correct when we exclude non-supported file types like URLs
UPDATED TEXT: “X {{ResourceSingle}}/s are not supported for Bulk Edit.”
{{ResourceSingle}} is dynamic name for single Resource as per Admin > Module config
X = number of excluded resources
3. Non-supported file types include:
W2P
URL
Remote File
Alias 
Checked Out resource (that current user cannot edit)","Scenario: Verify Exclusion Message for Non-Supported Resources
    Given user is on the resource file page
    And user Select Multiple Resources supported and non-supported to Edit
    When the User Click On Select Bulk Action popup
    Then the bulk edit operation should be prevented on non-supported resources
    And user can see snack bar with message:X (ResourceName/s) are not supported for bulk edit
    And X represent number of excluded resources        ",Digital Asset Management
23,"As a user, I want to see an Exit without saving warning when I try to leave the Bulk Edit Page/Process","1. If a user opens Bulk Edit, and then clicks Exit/Cancel, we will assume a change has been made somewhere in the process - data added on bulk page, or single view edit made - and so we will always show an abandon pop-up similar to Bulk Upload > Exit/Cancel
2. Pop-up Title: ‘Exit without saving {{ResourcesPlural}}’
3. Pop-up Text:  If you click the Exit button, none of the {{ResourcesPlural}} currently on your Bulk Edit screen will be updated. To Save your Edits, Cancel this popup and click Save Changes.’ 
4. Pop-up buttons:
Cancel - Returns user to the Bulk Edit page
Exit - Exits user and returns them to the folder","Scenario: Exit Without Saving Warning in Bulk Edit
    Given user is on bulk edit page
    When user clicks on the Exit/Cancel button
    Then pop should appear with the title ""Exit without saving {{ResourcesPlural}}""
    And pop should display the message:
      | If you click the Exit button, none of the {{ResourcesPlural}} currently on your Bulk Edit
      | screen will be updated. To Save your Edits, Cancel this popup and click Save Changes
    And pop should have two buttons: Cancel and Exit
    When user clicks on cancel
    Then user returns to bulk edit page
    When user clicks on the exit
    Then user returned to the folder",Digital Asset Management
24,"As a user, I want to Filter within my selected Resources on my Bulk Edit page (Left Panel Resource selection updates)","We consolidate the above into new options, with handling still accounted for on the single views
ie: instead of ‘Virus Detected’ and ‘Duplicate’ and ‘Field Errors’ we just have a generic ‘Errors’ filter for Bulk Edit, different from Bulk Upload. This means we will only have below options:
Processing Completed 
Upload Processing
Errors","Scenario: Verifying Filter Option
      Given user is on bulk edit page with selected resources
      When user clicks on the filter dropdown
      Then user can see the dropdown option: ""Processing Completed"", ""Upload Processing"", ""Errors""
      When user clicks on error option
      Then the list of selected resources should be filtered to display only those with errors
      And displaying X of Y label should update to show the number of resources displayed after filtering",Digital Asset Management
25,"As a user, in Single edit from Bulk view, I want to see a Duplicate warning when relevant","Scenario 1:
On Bulk Edit > Single View page, when a file/version is added that already exists on the platform, a pop-up/dialog box displays and the page below will be generally otherwise be in disabled mode (user cant click buttons under pop-up below the menu, and page below pop-up has a partially grey transparency - matches Bulk Upload behaviour) 
Underneath this pop-up the loading bar is red with error icon displaying 
The Pop-up design is to generally follow existing Bulk Upload > Single view:
Header: Duplicate File
Body text: This File has previously been uploaded in the locations listed below. You can Continue creating a new entry of the same file or Skip uploading the item. No additional storage is used if you Continue. To link the {{ResourceSingle}} to an existing file, Skip the upload and create an Alias instead.
‘Folder(s)’: Lists folders where the duplicate exists. Folder name is a link that opens in a new tab
If current user does not have permission to see the folder, then instead of that folder name the user sees “N/A - you do not have access to this folder” 
(Negative scenario check): ‘Apply Selection to all Uploads’ - checkbox → this field/option is excluded here (does exist for Bulk Upload scenario)
Buttons: Skip (no hover tooltip)
If skip is selected, then pop-up closes and the Resource name and preview is reverted to previous file/version on the open single page
Continue  (no hover tooltip) - If continue is selected, then pop-up is closed, and the red loading line turns green like a normal successful upload

Scenario 2:
On Bulk Edit > Single View page, if user was able to return to list view before the duplicate warning displayed, then behaviour follows bulk upload list view:
Error icon displays: (below is from bulk upload for reference)
Hover tooltip text: 'This file cannot be uploaded as errors have been detected with the file. Click the Error or Edit icon to resolve these issue(s) 
Save button is still enabled when at least one other selected resource in the list has no errors. The actual save processing bypasses the error resource (ie, that resource in the list temporarily ‘greys out’ (is disabled) during save but remains in the list after other resources are potentially saved. Refer to Bulk edit for reference for this handling.)
Bulk Apply still works while resource is in error
When user clicks either icon, then the pop-up displays on the open single page in line with previous scenario

Scenario 3: 
If Scenario 2 occurs for multiple resources in the same list, (when user is able to return to list view before seeing pop-up on single pages) they will see multiple relevant Resources with the error icon in the list as per Scenario 2","Scenario: Duplicate Warning
    Given user is on bulk edit single view page
    When new file/version is added that already exists on the platform
    Then pop up dialog box should appear
    And page below the pop up should generally be disabled
    And underneath the popup, red loading bar with an error icon should be displayed
    And pop up design should match bulk upload single view
    And pop up should have 'skip' and 'continue' buttons
    When user click on 'skip'
    Then pop up should close
    And resource name and the preview should be reverted to previous file/version on the single page
    When user click on 'continue'
    Then pop up should close
    And red loading line should turn green, indicating a successful upload",Digital Asset Management
28,"As a User, I want to see and create a new page type: Simple Page (from pop-up)","1. Be able to select / click on the creation pop-up and see the new page type: “Simple Page“ after the Simple Page Builder MCP setting is enabled
2. Details should be accurately in line with Design ","Scenario: Viewing ""Simple Page"" Option in the Creation Pop-up After MCP Setting is Enabled
Given the Simple Page Builder MCP setting is enabled
When the user opens the creation pop-up
Then the user should be able to see ""Simple Page"" as a new page type option
And the details should be accurately displayed in line with the design",Digital Asset Management
31,"As a user, I want on close of Single view redirect to Grouped Approval Review page (don't clear out single page response values)","1. When a user has entered any response info on a single response page and then returns to the List view, those details (comment/response/approved until values) are retained as long as the overall Grouped Review Page is open (As soon as user closes the overall overlay we no longer store this info)
2. This means, if user re-opens that single view, their response details remain ","Scenario: Retaining single view response details on close
 Given I have opened a single response page within a Grouped Approval Review
 And I have entered response information on the single response page
 When I close the single response page and return to the Grouped Approval Review list view
 Then the response details I entered on the single response page should be retained
 And if I reopen the same single response page, the previously entered details should still be present",Digital Asset Management
32,"As a user, I want to be able to click Submit Selected & Continue (Bulk)","1.Submit & continue button submits the selected requests
2. Page remains open, requests remain on left page
3. When submit is clicked, disable handling for actions/buttons kicks in 
4.vBlue Info Snackbar shows on submit: 
5. Content: “Submitting Response(s)”  
6. Green Snackbar handling on successful submit of 1+ items
7. Content: “{{X}} Responses submitted” 
8. {{X}} = number of successful responses, excluding any that failed validation","Scenario: Submit multiple responses while staying on the page
  Given I am on the Grouped Review page
  And I have selected 3 requests:
    | Request ID | Status   |
    | REQ-001   | Pending  |
    | REQ-002   | Pending  |
  And I have entered valid responses for ""REQ-001"" and ""REQ-002""
  And I have entered an invalid response for ""REQ-003""
  
  When I click the ""Submit & Continue"" button
  Then the ""Submit & Continue"" button should be disabled
  And the ""Apply to Selected"" button should be disabled
  And a blue info snackbar should appear with message ""Submitting Response(s)""
  
  When the submission process completes
  Then a green snackbar should appear with message ""2 Responses submitted""
  And the submission buttons should be re-enabled
  And the requests should remain visible in the left panel
  And requests ""REQ-001"" and ""REQ-002"" should show status ""Approved""
  And request ""REQ-003"" should show validation errors
  And I should remain on the Grouped Review page",Digital Asset Management
33,"As a User, I want to Rename due to a typo via input field on Training Centre","1. Be able to see ""Rename"" action icon
2. Be able to see tooltips while hovering on the 'Rename' icon 
3. Tooltips: “This action will allow you to rename the name associated with this face. The change will apply to this image as well as all other images with the same name.“
4. Be able to click on ""Rename"" and input to update the name for recognised face
5. Be able to see the confirmation popup and click on 'Confirm' to proceed the updating the new name and save to the same person
6. Be able to, then, see the “Update“ button and eventually to click on and confirm the final remaining step, where the new name will be saved to the same person","Scenario: Rename a recognized face with confirmation steps
  Given I am viewing a photo with recognized faces
  And there is a face tagged as ""John Smith""
  Then I should see a ""Rename"" icon next to ""John Smith""
  When I hover over the ""Rename"" icon
  Then I should see a tooltip with text:
    This action will allow you to rename the name associated with this face. 
    The change will apply to this image as well as all other images with the same name.
  When I click on the ""Rename"" icon
  Then I should see an input field with the current name ""John Smith""
  When I enter ""James Smith"" in the input field
  And I click ""Confirm""
  Then I should see a confirmation popup with the changes
  When I click the ""Update"" button
  Then the face should be renamed to ""James Smith""
  And the change should be saved across all images with this person",Digital Asset Management
34,"As a User, I want to Change the tagged face to another Person (existing) via drop-down menu on Training Centre","1. Be able to see the training centre 
2. Be able to proceed to update to another existing Person from the drop-down menu after detaching the Face, and then simultaneously saved","Scenario: Detach face and reassign to another person from dropdown
  Given I am in the training centre
  And I can see a face assigned to ""John Smith""
  And ""Sarah Johnson"" exists as another person in the system
  
  When I detach the face from ""John Smith""
  Then I should see the face is no longer assigned to ""John Smith""
  
  When I click the person selection dropdown
  Then I should see a list of existing people
  And ""Sarah Johnson"" should be visible in the dropdown
  
  When I select ""Sarah Johnson"" from the dropdown
  Then the face should be automatically assigned to ""Sarah Johnson""
  And the changes should be saved immediately
  And the face should now appear under ""Sarah Johnson"" in the training centre",Digital Asset Management
35,"As a User, I want to Delete the name from resources across platform on Training Centre","Be able to complete ""Delete profile"" action","Scenario: Successfully delete a person's profile
  Given I am in the training centre
  And I am viewing a profile for ""John Smith""
  And ""John Smith"" has multiple faces assigned
  
  When I click the ""Delete profile"" action
  Then I should see a confirmation dialog with:
    | Message | Are you sure you want to delete this profile? |
    | Warning | This action cannot be undone                  |
  
  When I confirm the deletion
  Then I should see a success message ""Profile successfully deleted""
  And ""John Smith"" should no longer appear in the training centre
  And all faces previously assigned to ""John Smith"" should be unassigned
  And I should be returned to the training centre main view",Digital Asset Management
36,"As a user, I want to review my document against compliance rules before submitting it to the system so that I can address issues early in the process.","1. Capture and extract content from the active Word document
2. Send document content and filter values to Review API
3. Implement ""Fix Issue"" functionality that navigates to the relevant section in Word
","Scenario: User reviews document against compliance rules before submission
  Given the user has an active Word document open
  When the user initiates a compliance review
  Then the system should capture and extract the content from the active Word document
  And send the extracted content along with any selected filter values to the Review API
  And display the compliance issues returned by the API

  When the user clicks ""Fix Issue"" on a listed compliance issue
  Then the system should navigate to the corresponding section in the Word document",Digital Asset Management
37,"As a user, I want to view detailed risk results from my document review and take actions on each risk (dismiss or add as comment) so that I can address compliance issues efficiently within my document.
","1. Display risks in a format matching the current Red Marker Add-ins
2. Implement risk action buttons: Dismiss button (X), Insert Comment button that adds the risk as a native Office comment
3. When ""Insert Comment"" is clicked:
- Create a native Microsoft Office comment at the exact location of the risk
- Format comment text to include risk details and suggested remediation
","Scenario: User views detailed risk results and takes actions within the document
  Given the user has completed a document compliance review
  When the risk results are displayed
  Then each risk should be shown in a format consistent with the current Red Marker Add-ins
  And each risk should include a ""Dismiss"" button and an ""Insert Comment"" button

  When the user clicks the ""Insert Comment"" button on a risk
  Then a native Microsoft Office comment should be created at the exact location of the risk in the document
  And the comment should include the risk details and suggested remediation text

  When the user clicks the ""Dismiss"" button on a risk
  Then the risk should be removed from the list and not appear in the review summary",Digital Asset Management
38,"As a user, I want to submit my reviewed document with all review comments for to IB so that it can review in platform or send for approval.
","1. On click to Send to IB - Validates that all filters required are selected
2. When submitting, it shows progress during submission
3. Provides clear confirmation
4. Offers clear error messages and recovery options on failure","Scenario: User submits reviewed document with comments to IB
  Given the user has completed the compliance review and all required filters are selected
  When the user clicks the ""Send to IB"" button
  Then the system should validate that all required filters are present
  And display a submission progress indicator

  When the submission completes successfully
  Then the user should see a clear confirmation message indicating the document was sent to IB

  When the submission fails
  Then the user should see a clear error message
  And the system should provide options to retry or cancel the submission",Digital Asset Management
39,"As an IB Admin, I want to designate a specific database as the default for the Add-in Risk Review so that users have a consistent starting point when using the Add-in as well as having a “Quick” drop off method. ","1. Add a new setting labeled ""Make this [DatabaseSingular] the default for Risk Reviews in Add-ins"" 
in the Database Settings section, above the “Custom Item Names” field.","Scenario: IB Admin sets a database as the default for Add-in Risk Review
  Given the IB Admin is on the Database Settings page
  When the admin checks the option ""Make this [DatabaseSingular] the default for Risk Reviews in Add-ins""
  And saves the settings
  Then the selected database should be designated as the default for Add-in Risk Reviews
  And users launching the Add-in should automatically have this database preselected for Risk Review",Digital Asset Management
40,"As a Product user, I want to be able to turn the Record Publish Approval feature on / off during development (MCP)",Rename the existing MCP setting name from Databases - Record Publish Approval Rewrite POC (devevelopment use only to Approvals - Record Publish Approval Rewrite (development use only),"Scenario: Product user toggles Record Publish Approval feature during development
  Given the user is a Product user with access to MCP settings
  When the user navigates to the MCP development settings section
  And the user sees the setting labeled ""Approvals - Record Publish Approval Rewrite (development use only)""
  Then the user should be able to enable or disable the Record Publish Approval feature
  And the system should respect the setting by turning the feature on or off accordingly",Digital Asset Management
41,"As a User, I want to be able to view my Record's Request status in the same section that's available for other V3 Approval types","1. Within the new Record Publish Approval review page, there should be a “Request Status” section which includes the same information as appears for other request types. 
2. This should include (though is not limited to):
- Request Status
- Approval(s) Still Required
- Waiting on","Scenario: User views Request Status for Record Publish Approval in the V3 Approval Review Page
  Given a user has submitted a Record for Publish Approval
  And the Record appears in the V3 Approval Review page
  When the user navigates to the Record's review detail page
  Then the page should display a “Request Status” section
  And the section should include:
    | Field                   |
    | Request Status         |
    | Approval(s) Still Required |
    | Waiting on             |
  And the information should be consistent with other V3 Approval types",Digital Asset Management
42,"As a User, I want to hide Comments on records & respective tabs for now when in the Approvals module","1. Comment functionality shouldn't be accessible for records when in approvals
2. Remove all tabs in the review request / request details page, ie Markup, Revisions, Response (as no tab will exist here yet). ","Scenario: Hide Comments and tabs on Records in Approvals module
  Given the user is viewing a Record in the Approvals module
  When the user opens the Review Request or Request Details page
  Then the Comment functionality should not be visible or accessible
  And the following tabs should not be displayed:
    | Tab Name   |
    | Markup     |
    | Revisions  |
    | Response   |",Digital Asset Management
